id,mag,longitude,latitude,date,Days since last eruption,vei,was_erupted,volcano_latitude,volcano_longitude
usp0003q2y,4.2,-72.667,-37.849000000000004,1988-12-22,1880,,0.0,,
usp0003q38,4.7,-71.729,-38.224000000000004,1988-12-22,1880,,0.0,,
usp0003q56,4.6,-71.351,-38.354,1988-12-24,1882,,0.0,,
usp0003q57,4.2,-72.595,-37.876999999999995,1988-12-24,1882,,0.0,,
usp0003q5s,4.8,-71.472,-38.385,1988-12-25,1883,,0.0,,
usp0003q98,4.7,-71.28,-38.304,1988-12-28,1886,,0.0,,
usp0003quu,4.6,-71.402,-38.481,1989-01-13,1902,,0.0,,
usp0003qua,4.3,-71.707,-38.681999999999995,1989-01-13,1902,,0.0,,
usp0003qu3,5.0,-71.473,-38.531,1989-01-13,1902,,0.0,,
usp0003s9e,5.3,-71.15100000000001,-38.287,1989-02-24,1944,,0.0,,
usp0003snm,4.8,-73.441,-42.18600000000001,1989-03-06,1954,,0.0,,
usp0003urz,5.1,-73.589,-41.736999999999995,1989-05-02,2011,,0.0,,
usp0003w2b,4.9,-74.623,-40.048,1989-06-07,2047,,0.0,,
usp0003wc9,5.6,-74.67399999999999,-40.494,1989-06-17,2057,,0.0,,
usp0003xqb,4.5,-73.027,-38.222,1989-07-26,2096,,0.0,,
usp0003z0z,4.6,-71.5,-40.881,1989-08-29,2130,,0.0,,
usp0003z35,5.4,-71.678,-41.85,1989-08-31,2132,,0.0,,
usp0003zqq,4.7,-72.28699999999999,-39.771,1989-09-18,2150,,0.0,,
usp00044tb,5.0,-74.425,-38.321,1990-01-27,2281,,0.0,,
usp00047du,5.1,-73.117,-37.881,1990-04-03,2347,,0.0,,
usp00047e9,4.6,-72.876,-37.802,1990-04-04,2348,,0.0,,
usp0004892,6.3,-73.303,-36.985,1990-04-21,2365,,0.0,,
usp00048ac,5.2,-73.334,-36.972,1990-04-22,2366,,0.0,,
usp00048b7,5.7,-73.3,-37.977,1990-04-22,2366,,0.0,,
usp0004m1e,5.1,-73.342,-38.219,1991-01-22,2641,,0.0,,
usp0004mdp,4.9,-72.694,-36.166,1991-02-01,2651,,0.0,,
usp0004n7h,4.8,-71.03699999999999,-37.779,1991-02-21,2671,,0.0,,
usp0004na5,4.3,-74.122,-36.080999999999996,1991-02-23,2673,,0.0,,
usp0004p40,4.6,-70.851,-36.037,1991-03-16,2694,,0.0,,
usp0004pfq,4.8,-72.959,-38.07,1991-03-24,2702,,0.0,,
usp0004rrv,5.2,-70.59100000000001,-36.573,1991-05-17,2756,,0.0,,
usp0004rt2,5.4,-74.786,-39.972,1991-05-18,2757,,0.0,,
usp0004s5z,4.9,-72.789,-40.116,1991-05-28,2767,,0.0,,
usp0004sep,5.6,-74.801,-40.022,1991-06-03,2773,,0.0,,
usp0004uuv,4.4,-71.872,-37.1,1991-07-31,2831,,0.0,,
usp0004uuy,4.7,-72.123,-40.475,1991-08-01,2832,,0.0,,
usp0004vv8,4.7,-70.597,-38.047,1991-08-25,2856,,0.0,,
usp0004ywr,4.2,-74.003,-36.387,1991-11-07,2930,,0.0,,
usp000514d,4.3,-71.436,-36.008,1991-12-29,2982,,0.0,,
usp00051z0,4.2,-74.123,-36.242,1992-01-19,3003,,0.0,,
usp00052pe,5.2,-74.518,-40.416,1992-02-06,3021,,0.0,,
usp0005437,4.2,-71.583,-36.080999999999996,1992-03-10,3054,,0.0,,
usp00055yd,4.5,-72.166,-40.137,1992-04-18,3093,,0.0,,
usp00056bn,4.0,-71.18,-36.608000000000004,1992-04-24,3099,,0.0,,
usp00058kk,4.3,-72.665,-36.219,1992-06-02,3138,,0.0,,
usp0005et3,5.5,-74.911,-39.035,1992-10-01,3259,1.0,1.0,-39.42,-71.93
usp0005g3g,4.0,-71.952,-36.356,1992-10-30,29,,0.0,,
usp0005h7p,4.4,-72.025,-38.152,1992-11-22,52,,0.0,,
usp0005nqz,5.1,-71.546,-39.075,1993-02-27,149,,0.0,,
usp0005p6y,5.3,-73.247,-39.891999999999996,1993-03-09,159,,0.0,,
usp0005pnc,5.6,-74.939,-37.691,1993-03-17,167,,0.0,,
usp0005qvq,4.8,-73.442,-36.816,1993-04-08,189,,0.0,,
